profile,window_size,recall,fpr,noise_p50_0,noise_p75_0,noise_p90_0,noise_p99_0,noise_p99_9,snr_p50_0,snr_p75_0,snr_p90_0,snr_p99_0,snr_p99_9
spherical_cow,1.0,0.2833333333333333,0.050277777777777775,0.0002473518087065331,0.0004093322945869158,0.0042418888413840216,0.004599910320455708,0.005651370052592049,173.0384236728953,171.62180833095252,16.973671097799496,16.199924335181837,13.135370989170664
spherical_cow,5.0,0.2916666666666667,0.0125,0.0001469888909424801,0.00022110066663508007,0.0005474387880454105,0.009132589105577007,0.009599498707912987,260.3890897514469,317.6334799331839,131.23903757957706,8.973227642584135,8.564690708560791
spherical_cow,30.0,0.5,0.05,6.841420264479791e-05,9.53031115655456e-05,0.00022335976856865242,0.0049452582062879565,0.019964201034608237,219.86999439045783,736.4732560274153,321.55089218131104,15.468226295716478,6.222844108246899
spherical_cow,60.0,0.5,0.03333333333333333,4.367212393161632e-05,6.294022503868249e-05,0.00015421651010657814,0.0013895006841044913,0.026540445539980657,129.99061816313912,562.6307393945035,870.6416666324458,99.02950225413727,5.131431591069651
spherical_cow,120.0,1.0,0.03333333333333333,2.878865503146618e-05,4.182950618133965e-05,0.00010092127464134885,0.0008305465994098724,0.034471040143707526,163.347711410337,295.44780299704587,2400.735757503528,318.5405197315561,7.608726467256306
long_tail,1.0,1.0,0.9122222222222223,0.0005978294645460884,0.0012092683663828504,0.0027903305389609945,0.05469159105775416,3.462598019324559,75.3364257641622,48.579029041842844,23.163421778779433,3.0935920581955823,0.4798047836609368
long_tail,5.0,1.0,0.9305555555555556,0.0005013161434609354,0.0010313299010444132,0.0025635110577394947,0.05422958434835942,3.458528495358685,88.42265940354525,56.84806708912194,25.4712673286808,3.1413283540310957,0.47832593195848994
long_tail,30.0,1.0,0.7583333333333333,0.00045014755084157404,0.0009397016800256387,0.002399185535261013,0.054339926524578926,3.508197144087493,97.97550000628486,62.32399915465453,27.21354794429819,3.2262522725517506,0.48461222454635
long_tail,60.0,1.0,0.5166666666666667,0.00043736131200974664,0.0009283856280072797,0.0023722533802916605,0.05453320588234542,3.5259349707953014,52.65566970484255,74.90157713965392,39.38162439337513,3.717808903104608,0.4825734662956233
long_tail,120.0,1.0,0.03333333333333333,0.0004340118610455942,0.0009309888875884717,0.0023809261500043976,0.05499402665273994,3.4290400436227286,43.87988012135553,56.9665042592706,50.39608338876886,4.737828379281906,0.454910663877023
